ResumeText,JobDescription,Label
flutter objective-c android,Android Developer with Kotlin and Java experience,50
scikit-learn machine learning tensorflow deep learning react native flask,"Data Scientist with Python, R, and machine learning expertise",61
grafana docker prometheus aws ci/cd jenkins,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",93
terraform docker aws kubernetes ci/cd android mysql hibernate,"Hiring SRE with Kubernetes, Prometheus, and Grafana",76
prometheus terraform grafana pytorch android,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",50
kubernetes gcp azure aws helm terraform pmp sql angular,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",98
javascript html typescript scikit-learn r spring,Hiring web developer skilled in modern frontend frameworks,53
flask tensorflow hadoop django pandas testng typescript,"Data Engineer with Python, Spark, and Hadoop",72
kubernetes terraform jenkins ci/cd aws,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",81
junit qa manual testing django angular python,"QA Engineer with Selenium, Cypress, and test automation experience",55
mysql react spring boot java,"Java Developer with Spring Boot, Hibernate, and Microservices experience",63
nlp tensorflow machine learning r deep learning scikit-learn kotlin,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",93
python tensorflow hadoop scikit-learn pandas ci/cd ci/cd,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",78
html css react typescript javascript angular aws web api angular,"Frontend Developer with React, Angular, and JavaScript expertise",92
mvc asp.net c# azure sql entity framework microservices java flutter,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",85
pytorch nlp deep learning ml tensorflow sql,"Data Scientist with Python, R, and machine learning expertise",78
r machine learning python deep learning manual testing,"ML Engineer required with scikit-learn, TensorFlow, and big data",69
ci/cd terraform gcp helm aws,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",83
flask tensorflow pandas,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",51
mysql java spring boot spring hibernate kafka flutter web api,"Java Developer with Spring Boot, Hibernate, and Microservices experience",99
scikit-learn hadoop flask,"Data Engineer with Python, Spark, and Hadoop",52
prometheus docker aws grafana terraform agile,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",82
business analysis agile scrum stakeholder management pmp c# testng hibernate,"Product Manager with Agile, Scrum, and stakeholder management",70
grafana terraform ci/cd android,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",52
manual testing testng junit cypress automation selenium scikit-learn css entity framework,"QA Engineer with Selenium, Cypress, and test automation experience",85
helm kubernetes aws ci/cd,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",62
selenium qa automation ci/cd tensorflow scrum,"SDET required with Java, TestNG, and JUnit",52
scikit-learn ml r machine learning python prometheus asp.net,"Data Scientist with Python, R, and machine learning expertise",85
helm kubernetes aws terraform machine learning kotlin java,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",59
kotlin flutter swift ios,Android Developer with Kotlin and Java experience,68
ml deep learning python flask spring boot html,"ML Engineer required with scikit-learn, TensorFlow, and big data",40
html vue typescript javascript kafka azure,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",63
hibernate java spring boot mysql django pandas,"Java Developer with Spring Boot, Hibernate, and Microservices experience",58
scikit-learn deep learning nlp machine learning aws kubernetes grafana,"Data Scientist with Python, R, and machine learning expertise",64
azure terraform gcp kubernetes microservices jenkins react,Hiring Solutions Architect for AWS and Kubernetes deployments,67
python r pytorch machine learning ci/cd,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",69
junit automation testng react kubernetes web api,Hiring Software Tester with manual and automation testing skills,46
vue javascript css html java web api,"Frontend Developer with React, Angular, and JavaScript expertise",59
objective-c android react native kotlin asp.net,Hiring cross-platform mobile developer with Flutter and React Native,55
angular asp.net asp.net core sql mvc junit,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",70
docker ci/cd terraform grafana kubernetes prometheus,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",87
stakeholder management agile scrum product management pmp business analysis terraform pytorch,Hiring Business Analyst with strong requirements gathering skills,85
flutter ios android swift,Android Developer with Kotlin and Java experience,60
html angular css javascript vue terraform react native stakeholder management,Hiring web developer skilled in modern frontend frameworks,83
react typescript javascript vue angular css azure azure react,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",96
terraform helm ci/cd automation,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",48
react kafka java nlp pmp pytorch,"Backend Java engineer required with Spring, Kafka, and MySQL skills",49
react kafka spring spring boot react sql manual testing,"Backend Java engineer required with Spring, Kafka, and MySQL skills",65
terraform ci/cd docker kubernetes jenkins grafana django nlp azure,"Hiring SRE with Kubernetes, Prometheus, and Grafana",86
ios kotlin java objective-c testng,Android Developer with Kotlin and Java experience,66
objective-c java react native flutter android angular aws web api,"iOS Engineer required with Swift, Objective-C, and UIKit",75
azure aws ci/cd business analysis,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",53
django python spark nlp terraform react native,"Data Engineer with Python, Spark, and Hadoop",54
asp.net entity framework asp.net core scikit-learn swift objective-c,".NET Core developer required with strong C#, Entity Framework, and Web API skills",50
junit automation testng manual testing qa cypress ml vue,Hiring Software Tester with manual and automation testing skills,95
django spark python,"Python Developer with Django, Flask, and REST APIs",40
mysql react spring java kafka spring boot entity framework flutter css,Hiring full stack Java developer with React and Spring Boot,88
azure web api entity framework angular asp.net qa grafana,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",71
ci/cd prometheus jenkins,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",41
sql mvc azure angular angular ci/cd r,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",69
pmp stakeholder management scrum product management hadoop,Hiring Business Analyst with strong requirements gathering skills,60
flutter android react native ios,Android Developer with Kotlin and Java experience,62
scrum agile business analysis helm tensorflow,Project Manager required with PMP and Agile methodologies,42
scikit-learn django spark flask business analysis,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",68
ci/cd grafana prometheus docker pmp react native java,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",55
javascript css typescript react vue html aws,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",92
hadoop python scikit-learn,"Data Engineer with Python, Spark, and Hadoop",52
pmp agile product management scrum stakeholder management business analysis swift aws machine learning,Hiring Business Analyst with strong requirements gathering skills,92
spark tensorflow pandas flask scikit-learn ml terraform,"Python Developer with Django, Flask, and REST APIs",77
android java kotlin react,"iOS Engineer required with Swift, Objective-C, and UIKit",45
java react hibernate microservices spring spring boot manual testing asp.net entity framework,Hiring full stack Java developer with React and Spring Boot,93
mysql kafka spring hibernate microservices react,"Java Developer with Spring Boot, Hibernate, and Microservices experience",92
aws azure kubernetes gcp helm nlp docker asp.net core,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",73
html angular javascript business analysis react native django,"Frontend Developer with React, Angular, and JavaScript expertise",50
react java kafka spring mysql,"Java Developer with Spring Boot, Hibernate, and Microservices experience",78
machine learning ml pytorch android,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",46
aws docker kubernetes ci/cd r,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",59
vue css typescript javascript,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",64
aws kubernetes azure microservices,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",54
stakeholder management scrum product management,Project Manager required with PMP and Agile methodologies,45
mysql hibernate react microservices docker swift,"Backend Java engineer required with Spring, Kafka, and MySQL skills",58
spark flask python tensorflow scikit-learn,"Python Developer with Django, Flask, and REST APIs",77
swift objective-c kotlin aws web api,Hiring cross-platform mobile developer with Flutter and React Native,45
entity framework asp.net core c# mvc,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",58
aws docker grafana ci/cd terraform prometheus spark selenium react,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",100
docker prometheus jenkins web api,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",55
spring boot hibernate kafka django css,"Backend Java engineer required with Spring, Kafka, and MySQL skills",46
machine learning deep learning python nlp agile javascript typescript,"ML Engineer required with scikit-learn, TensorFlow, and big data",61
objective-c android kotlin ios prometheus ml,"iOS Engineer required with Swift, Objective-C, and UIKit",56
cypress junit automation kubernetes aws machine learning,"QA Engineer with Selenium, Cypress, and test automation experience",42
objective-c java swift kotlin react native android pandas grafana,"iOS Engineer required with Swift, Objective-C, and UIKit",92
kubernetes jenkins aws terraform ci/cd docker hibernate ios sql,"Hiring SRE with Kubernetes, Prometheus, and Grafana",93
kubernetes gcp aws terraform scikit-learn,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",67
cypress testng selenium junit hadoop c#,Hiring Software Tester with manual and automation testing skills,68
mvc c# angular web api asp.net azure gcp,".NET Core developer required with strong C#, Entity Framework, and Web API skills",96
kubernetes helm ci/cd azure aws terraform html,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",94
typescript html react css angular hadoop flask scikit-learn,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",85
ml machine learning tensorflow r python deep learning spring boot,"Data Scientist with Python, R, and machine learning expertise",88
c# asp.net entity framework vue,".NET Core developer required with strong C#, Entity Framework, and Web API skills",44
java ios objective-c android,"iOS Engineer required with Swift, Objective-C, and UIKit",69
sql c# asp.net core,".NET Core developer required with strong C#, Entity Framework, and Web API skills",47
mysql react spring boot spring kafka java,"Backend Java engineer required with Spring, Kafka, and MySQL skills",85
swift java objective-c selenium tensorflow vue,Android Developer with Kotlin and Java experience,46
javascript vue css angular react html pytorch,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",97
typescript vue react javascript css html,Hiring web developer skilled in modern frontend frameworks,100
vue react css angular html typescript django asp.net core tensorflow,"Frontend Developer with React, Angular, and JavaScript expertise",89
vue angular html typescript react javascript angular azure,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",100
hibernate java react mysql automation,"Java Developer with Spring Boot, Hibernate, and Microservices experience",66
python spark tensorflow pandas react,"Data Engineer with Python, Spark, and Hadoop",70
azure asp.net c# sql automation product management docker,".NET Core developer required with strong C#, Entity Framework, and Web API skills",69
c# asp.net core sql swift python,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",47
kubernetes gcp ci/cd flutter deep learning,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",47
ci/cd aws azure terraform gcp kubernetes manual testing pandas react,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",100
aws kubernetes ci/cd docker terraform azure ci/cd machine learning,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",70
asp.net entity framework c# angular azure sql product management,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",94
java android kotlin spring,Hiring cross-platform mobile developer with Flutter and React Native,48
ios swift objective-c mvc javascript,"iOS Engineer required with Swift, Objective-C, and UIKit",46
tensorflow ml python microservices java cypress,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",51
aws terraform ci/cd asp.net react,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",40
kafka spring boot react typescript,"Java Developer with Spring Boot, Hibernate, and Microservices experience",51
flask scikit-learn python java,"Python Developer with Django, Flask, and REST APIs",47
flutter ios react native kotlin,"iOS Engineer required with Swift, Objective-C, and UIKit",69
ios react native objective-c flutter grafana tensorflow,"iOS Engineer required with Swift, Objective-C, and UIKit",62
ios objective-c react native flutter android python pmp,Android Developer with Kotlin and Java experience,76
testng selenium cypress manual testing,Hiring Software Tester with manual and automation testing skills,66
kafka spring hibernate microservices mysql java hadoop testng,"Backend Java engineer required with Spring, Kafka, and MySQL skills",90
c# azure web api sql asp.net core angular business analysis nlp,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",94
agile pmp scrum css,"Product Manager with Agile, Scrum, and stakeholder management",50
angular css typescript azure helm,"Frontend Developer with React, Angular, and JavaScript expertise",50
vue css html,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",40
hadoop flask scikit-learn tensorflow pandas django junit,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",97
pmp product management business analysis stakeholder management agile scrum ml python r,"Product Manager with Agile, Scrum, and stakeholder management",86
hadoop pandas python django tensorflow flask,"Python Developer with Django, Flask, and REST APIs",88
swift flutter ios kotlin android objective-c,Hiring cross-platform mobile developer with Flutter and React Native,100
html angular vue react mysql hibernate kafka,Hiring web developer skilled in modern frontend frameworks,68
ci/cd docker jenkins grafana kubernetes prometheus web api machine learning,"Hiring SRE with Kubernetes, Prometheus, and Grafana",98
terraform aws gcp cypress,Hiring Solutions Architect for AWS and Kubernetes deployments,48
business analysis pmp product management selenium spring kotlin,Project Manager required with PMP and Agile methodologies,46
azure kubernetes helm gcp flask prometheus deep learning,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",58
java objective-c android agile asp.net core qa,Hiring cross-platform mobile developer with Flutter and React Native,41
helm aws ci/cd gcp kubernetes azure angular machine learning flutter,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",97
docker kubernetes terraform scrum hadoop swift,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",48
python pandas tensorflow django flask react native web api kubernetes,"Data Engineer with Python, Spark, and Hadoop",79
objective-c flutter ios react native react kubernetes,Android Developer with Kotlin and Java experience,59
vue javascript angular css terraform,"Frontend Developer with React, Angular, and JavaScript expertise",69
pmp scrum product management java,"Product Manager with Agile, Scrum, and stakeholder management",42
android react native ios objective-c flutter swift,"iOS Engineer required with Swift, Objective-C, and UIKit",90
testng cypress junit manual testing qa,"QA Engineer with Selenium, Cypress, and test automation experience",74
machine learning ml nlp tensorflow kubernetes,"Data Scientist with Python, R, and machine learning expertise",61
pytorch scikit-learn r nlp prometheus scikit-learn ci/cd,"Data Scientist with Python, R, and machine learning expertise",65
ios swift objective-c flutter azure,Hiring cross-platform mobile developer with Flutter and React Native,57
django python tensorflow vue,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",54
aws ci/cd kubernetes helm azure gcp react,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",85
machine learning pytorch deep learning ml django,"ML Engineer required with scikit-learn, TensorFlow, and big data",58
product management scrum stakeholder management business analysis flutter,Hiring Business Analyst with strong requirements gathering skills,61
angular typescript javascript html hibernate scikit-learn,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",59
vue angular react flask pytorch,"Frontend Developer with React, Angular, and JavaScript expertise",51
react mysql hibernate spring boot kafka java android scrum,Hiring full stack Java developer with React and Spring Boot,86
helm kubernetes terraform ci/cd azure react react native c#,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",82
scrum business analysis product management agile kafka,Hiring Business Analyst with strong requirements gathering skills,61
scrum business analysis pmp stakeholder management,Project Manager required with PMP and Agile methodologies,60
scikit-learn r ml css kubernetes grafana,"Data Scientist with Python, R, and machine learning expertise",50
asp.net entity framework azure angular sql c#,".NET Core developer required with strong C#, Entity Framework, and Web API skills",93
angular javascript typescript vue kotlin asp.net core,"Frontend Developer with React, Angular, and JavaScript expertise",55
django tensorflow flask hadoop scikit-learn python qa,"Python Developer with Django, Flask, and REST APIs",97
angular asp.net c# mvc machine learning qa,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",58
r deep learning nlp tensorflow ci/cd scrum,"ML Engineer required with scikit-learn, TensorFlow, and big data",60
spark tensorflow scikit-learn,"Python Developer with Django, Flask, and REST APIs",40
objective-c flutter swift android kotlin scrum qa,"iOS Engineer required with Swift, Objective-C, and UIKit",75
automation selenium cypress qa junit kubernetes,"SDET required with Java, TestNG, and JUnit",72
aws gcp kubernetes java spark scikit-learn,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",40
pandas spark tensorflow flask jenkins flutter terraform,"Data Engineer with Python, Spark, and Hadoop",67
hadoop django scikit-learn spark python flutter swift,"Python Developer with Django, Flask, and REST APIs",73
hibernate spring boot java kafka spring pytorch android,"Backend Java engineer required with Spring, Kafka, and MySQL skills",70
objective-c ios swift java kotlin kubernetes flask web api,Android Developer with Kotlin and Java experience,76
django tensorflow flask scikit-learn pandas objective-c mvc machine learning,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",81
aws terraform jenkins kubernetes docker typescript android nlp,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",79
jenkins kubernetes prometheus docker spark,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",56
asp.net mvc entity framework asp.net core sql angular nlp aws,".NET Core developer required with strong C#, Entity Framework, and Web API skills",87
asp.net core c# angular azure vue spark,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",61
agile pmp product management asp.net docker,Hiring Business Analyst with strong requirements gathering skills,47
react native android objective-c pmp,Hiring cross-platform mobile developer with Flutter and React Native,49
swift objective-c flutter android kotlin ios,Android Developer with Kotlin and Java experience,94
kotlin flutter swift android objective-c java python,"iOS Engineer required with Swift, Objective-C, and UIKit",93
swift objective-c ios kotlin android pmp agile cypress,"iOS Engineer required with Swift, Objective-C, and UIKit",80
selenium automation testng qa manual testing,"SDET required with Java, TestNG, and JUnit",73
aws terraform prometheus sql pmp terraform,"Hiring SRE with Kubernetes, Prometheus, and Grafana",41
java mysql kafka spring hibernate,Hiring full stack Java developer with React and Spring Boot,71
react javascript vue css html typescript deep learning pmp,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",94
junit qa manual testing scrum angular r,Hiring Software Tester with manual and automation testing skills,55
docker jenkins terraform prometheus kubernetes,"Hiring SRE with Kubernetes, Prometheus, and Grafana",82
android objective-c kotlin product management typescript asp.net core,"iOS Engineer required with Swift, Objective-C, and UIKit",54
python hadoop django pmp asp.net core swift,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",47
hibernate mysql spring boot react,"Backend Java engineer required with Spring, Kafka, and MySQL skills",56
nlp tensorflow python r swift,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",55
junit cypress manual testing qa selenium prometheus,"SDET required with Java, TestNG, and JUnit",78
azure helm terraform kubernetes ci/cd aws nlp,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",91
spark django python flask scikit-learn flutter,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",80
css javascript html vue terraform kubernetes,Hiring web developer skilled in modern frontend frameworks,55
c# asp.net asp.net core mvc entity framework selenium swift pytorch,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",76
hadoop scikit-learn tensorflow spark python azure pytorch,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",82
kubernetes aws grafana jenkins docker prometheus cypress pmp hibernate,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",98
stakeholder management pmp agile product management mysql css react native,Hiring Business Analyst with strong requirements gathering skills,57
spark pandas tensorflow django scikit-learn python javascript,"Data Engineer with Python, Spark, and Hadoop",85
react native kotlin android ios flutter objective-c python selenium prometheus,Hiring cross-platform mobile developer with Flutter and React Native,92
grafana docker terraform ci/cd,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",58
html angular javascript tensorflow,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",47
java kafka hibernate mysql spring,Hiring full stack Java developer with React and Spring Boot,83
cypress manual testing junit testng automation qa typescript,"SDET required with Java, TestNG, and JUnit",97
product management stakeholder management business analysis pmp ios tensorflow,Project Manager required with PMP and Agile methodologies,59
testng automation manual testing qa business analysis grafana,"SDET required with Java, TestNG, and JUnit",64
mysql kafka spring boot,"Backend Java engineer required with Spring, Kafka, and MySQL skills",47
business analysis pmp stakeholder management agile scrum automation kafka,"Product Manager with Agile, Scrum, and stakeholder management",80
ci/cd terraform jenkins kubernetes aws automation python scikit-learn,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",77
java hibernate spring boot microservices objective-c,"Java Developer with Spring Boot, Hibernate, and Microservices experience",66
flask tensorflow spark kafka,"Data Engineer with Python, Spark, and Hadoop",42
asp.net core c# azure web api,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",70
microservices spring hibernate spring boot mysql java,"Backend Java engineer required with Spring, Kafka, and MySQL skills",88
c# asp.net web api angular mvc entity framework helm scikit-learn,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",98
angular react typescript css scikit-learn,Hiring web developer skilled in modern frontend frameworks,68
kubernetes prometheus docker grafana terraform mvc objective-c,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",70
jenkins kubernetes prometheus helm,"Hiring SRE with Kubernetes, Prometheus, and Grafana",43
helm terraform kubernetes gcp aws kotlin,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",74
selenium junit cypress manual testing qa flask spring boot,"QA Engineer with Selenium, Cypress, and test automation experience",81
microservices hibernate mysql spring boot react entity framework angular,"Java Developer with Spring Boot, Hibernate, and Microservices experience",82
tensorflow django pandas objective-c,"Data Engineer with Python, Spark, and Hadoop",52
react java hibernate kafka mysql angular mvc ci/cd,Hiring full stack Java developer with React and Spring Boot,74
scikit-learn deep learning r tensorflow machine learning python,"Data Scientist with Python, R, and machine learning expertise",91
terraform gcp azure ci/cd kubernetes helm react native asp.net,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",94
kubernetes gcp aws helm,Hiring Solutions Architect for AWS and Kubernetes deployments,63
android ios react native flutter java,Android Developer with Kotlin and Java experience,84
sql c# web api asp.net angular azure microservices agile mysql,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",97
nlp tensorflow scikit-learn deep learning machine learning selenium ci/cd,"ML Engineer required with scikit-learn, TensorFlow, and big data",82
ios swift kotlin android react native java kubernetes terraform scikit-learn,"iOS Engineer required with Swift, Objective-C, and UIKit",99
react mysql hibernate spring boot java flutter django docker,Hiring full stack Java developer with React and Spring Boot,73
vue typescript angular react,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",59
prometheus terraform aws grafana,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",69
scrum stakeholder management pmp business analysis agile,Hiring Business Analyst with strong requirements gathering skills,70
aws prometheus ci/cd terraform swift,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",56
microservices spring java hibernate mysql spring boot,"Java Developer with Spring Boot, Hibernate, and Microservices experience",97
helm terraform aws spring boot css agile,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",47
junit cypress automation testng machine learning mvc hadoop,"SDET required with Java, TestNG, and JUnit",63
automation qa junit cypress testng aws,Hiring Software Tester with manual and automation testing skills,76
swift kotlin java android react native flutter,"iOS Engineer required with Swift, Objective-C, and UIKit",99
qa junit testng selenium automation cypress ios machine learning,"QA Engineer with Selenium, Cypress, and test automation experience",100
pmp product management scrum,Project Manager required with PMP and Agile methodologies,53
objective-c react native ios android,"iOS Engineer required with Swift, Objective-C, and UIKit",69
helm kubernetes aws ci/cd azure terraform,Hiring Solutions Architect for AWS and Kubernetes deployments,87
angular azure web api asp.net core c# grafana scrum,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",82
nlp scikit-learn r ml sql,"Data Scientist with Python, R, and machine learning expertise",61
business analysis agile pmp grafana react docker,Project Manager required with PMP and Agile methodologies,54
flutter swift android kotlin ios,Hiring cross-platform mobile developer with Flutter and React Native,76
agile stakeholder management product management business analysis microservices,"Product Manager with Agile, Scrum, and stakeholder management",57
business analysis stakeholder management scrum agile deep learning hibernate terraform,Project Manager required with PMP and Agile methodologies,63
deep learning pytorch machine learning nlp scikit-learn grafana spring boot react,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",70
manual testing junit testng selenium cypress,Hiring Software Tester with manual and automation testing skills,77
automation qa testng mvc vue tensorflow,"SDET required with Java, TestNG, and JUnit",55
java react native ios kotlin swift android,Android Developer with Kotlin and Java experience,85
aws terraform azure spring boot deep learning react native,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",48
mysql java spring boot hibernate kafka spring machine learning entity framework,Hiring full stack Java developer with React and Spring Boot,96
hibernate java mysql kafka microservices python junit selenium,Hiring full stack Java developer with React and Spring Boot,74
react native java swift flutter gcp flask ci/cd,Hiring cross-platform mobile developer with Flutter and React Native,62
spring boot kafka react hibernate mysql azure,"Backend Java engineer required with Spring, Kafka, and MySQL skills",75
android objective-c swift react native flutter nlp python,"iOS Engineer required with Swift, Objective-C, and UIKit",80
react angular vue html css scikit-learn r agile,"Frontend Developer with React, Angular, and JavaScript expertise",74
asp.net core web api asp.net c# azure tensorflow nlp,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",75
terraform aws docker jenkins prometheus ci/cd,"Cloud Engineer required with Terraform, CI/CD, and Jenkins",86
kubernetes aws ci/cd azure typescript android,Hiring Solutions Architect for AWS and Kubernetes deployments,58
aws terraform gcp azure kubernetes react manual testing selenium,Hiring Solutions Architect for AWS and Kubernetes deployments,82
testng qa cypress spring gcp helm,"QA Engineer with Selenium, Cypress, and test automation experience",53
flask pandas scikit-learn tensorflow spark scikit-learn,"Python Developer with Django, Flask, and REST APIs",82
kafka microservices hibernate mysql ios,"Java Developer with Spring Boot, Hibernate, and Microservices experience",67
stakeholder management scrum pmp ci/cd deep learning testng,"Product Manager with Agile, Scrum, and stakeholder management",41
flask python django pandas ml,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",62
angular asp.net core sql mvc qa aws scikit-learn,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",58
mvc c# asp.net core angular web api azure,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",97
spark python tensorflow django spring testng,"Python Developer with Django, Flask, and REST APIs",66
azure terraform ci/cd gcp helm kubernetes,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",99
asp.net web api sql angular react native terraform,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",55
junit selenium manual testing cypress ios,Hiring Software Tester with manual and automation testing skills,68
html angular javascript typescript react docker java business analysis,"UI Engineer with HTML, CSS, JavaScript, and Vue.js",84
machine learning tensorflow ml deep learning vue,"Hiring AI Engineer with NLP, Deep Learning, and PyTorch",58
flask scikit-learn pandas ml entity framework,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",50
spring hibernate microservices ci/cd terraform,"Java Developer with Spring Boot, Hibernate, and Microservices experience",41
aws terraform ci/cd kubernetes pmp react,Hiring Solutions Architect for AWS and Kubernetes deployments,61
ci/cd terraform azure helm,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",62
spark python tensorflow flask django hadoop scikit-learn hibernate swift,"Hiring ML Engineer with Python, TensorFlow, and scikit-learn",96
aws terraform gcp manual testing c#,Hiring Solutions Architect for AWS and Kubernetes deployments,49
c# web api azure asp.net entity framework,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",85
kubernetes jenkins ci/cd ci/cd machine learning,"Hiring SRE with Kubernetes, Prometheus, and Grafana",40
helm terraform kubernetes,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",43
scikit-learn nlp pytorch python tensorflow deep learning business analysis grafana html,"Data Scientist with Python, R, and machine learning expertise",86
spring react mysql java django sql,"Backend Java engineer required with Spring, Kafka, and MySQL skills",70
pandas hadoop django business analysis,"Data Engineer with Python, Spark, and Hadoop",47
junit selenium testng qa manual testing automation business analysis,Hiring Software Tester with manual and automation testing skills,92
ci/cd gcp aws ios spark,Hiring Solutions Architect for AWS and Kubernetes deployments,53
hibernate spring boot microservices java scikit-learn android,"Java Developer with Spring Boot, Hibernate, and Microservices experience",66
junit qa automation manual testing selenium stakeholder management python react native,"SDET required with Java, TestNG, and JUnit",80
tensorflow scikit-learn pytorch deep learning python terraform spring,"ML Engineer required with scikit-learn, TensorFlow, and big data",84
nlp scikit-learn tensorflow deep learning python ml typescript spring boot,"Data Scientist with Python, R, and machine learning expertise",87
r ml python tensorflow pytorch spring boot ci/cd,"ML Engineer required with scikit-learn, TensorFlow, and big data",84
kubernetes terraform ci/cd prometheus jenkins spark sql nlp,"Hiring SRE with Kubernetes, Prometheus, and Grafana",76
